<<<15:31:28:646774>>>
* Screen coordinates (1447, 53) choosen in zone #3.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (1333, 0).
* Maximum (x, y) are (1600, 150).
* Mid (x, y) are (1466, 75).
<<<15:31:28:646774>>>  Image at Pix\Faraway_Objects\Asteroids\4.png choosen for background...
<<<15:31:28:647469>>>
* Screen coordinates (202, 882) choosen in zone #7.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (0, 750).
* Maximum (x, y) are (266, 900).
* Mid (x, y) are (133, 825).
<<<15:31:28:647469>>>  Image at Pix\Faraway_Objects\Gas_Giants\12.png choosen for background...
<<<15:31:28:650743>>>  Pix\Homeworlds\Ocean\3.png loaded as pixie for Earth...
<<<15:31:28:650743>>>  Image at Pix\Homeworlds\Ocean\3.png chosen as homeworld pix for Earth's...
<<<15:31:28:650743>>>  Pix\Moons\2.png loaded as pixie for Moon #2...
<<<15:31:28:692070>>>  Pix\Snails\Green_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #1 Green Player Tank...
<<<15:31:28:693067>>>  Tank #1 Green Player Tank successfully created!
<<<15:31:28:738622>>>  Pix\Snails\Red_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #2 Red AI Tank...
<<<15:31:28:738622>>>  Tank #2 Red AI Tank successfully created!
<<<15:31:28:784310>>>  Pix\Snails\Yellow_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #3 Yellow AI Tank...
<<<15:31:28:784310>>>  Tank #3 Yellow AI Tank successfully created!
<<<15:31:28:790365>>>
* *** Tank #2 Red AI Tank USING CLEAR SKIES FUNCTION ***
* Moon #2 at (12684.754470340798, 1204.8997771928434), angle 0.09470387827387064 rads.
* Tank #2 Red AI Tank at (-5517.44784751066, -3185.499999999998), angle 3.665191429188092.
* Angle Between is 2.7126977562653654 rads.
<<<15:31:28:790365>>>  Tank #2 Red AI Tank saw no celestials or cannonballs above their heads and is casting Gravity...
<<<15:31:28:790365>>>  Successfully removed spellready icon from Tank #2 Red AI Tank's effect list!
<<<15:31:28:790365>>>  Successfully removed spellready icon from Tank #3 Yellow AI Tank's effect list!
<<<15:31:28:802368>>>  Successfully removed spellbook from Tank #2 Red AI Tank's effect list!
<<<15:31:28:802368>>>  Tank #2 Red AI Tank chose to shoot...
<<<15:31:28:802368>>>  Deleting effect pixie gravity-rising...
<<<15:31:31:796191>>>  Successfully removed spellbook from Tank #3 Yellow AI Tank's effect list!
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank chose to shoot...
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank chose to shoot...
<<<15:31:31:796191>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:796191>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:796191>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:796191>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:796191>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:813109>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:813109>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:813109>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:813109>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:813109>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:813109>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:813109>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:813109>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:829180>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:829180>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:829180>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:829180>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:31:31:829180>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:31:829180>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:829180>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:31:829180>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CW...
<<<15:31:31:845870>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:31:845870>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:31:845870>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
