<<<16:12:23:161373>>>
* Screen coordinates (1434, 851) choosen in zone #5.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (1333, 750).
* Maximum (x, y) are (1600, 900).
* Mid (x, y) are (1466, 825).
<<<16:12:23:161373>>>  Image at Pix\Faraway_Objects\Comets\5.png choosen for background...
<<<16:12:23:165558>>>  Pix\Homeworlds\Forest\9.png loaded as pixie for Earth and scaled to body circle...
<<<16:12:23:165558>>>  Image at Pix\Homeworlds\Forest\9.png chosen as homeworld pix for Earth's...
<<<16:12:23:165558>>>  Pix\Moons\7.png loaded as pixie for Moon #2 and scaled to body circle...
<<<16:12:23:199567>>>  Tank #1 Green Player Tank successfully created!
<<<16:12:23:236201>>>  Tank #2 Red AI Tank successfully created!
<<<16:12:23:240956>>>
* *** Tank #2 Red AI Tank USING CLEAR SKIES FUNCTION ***
* Moon #2 at (4403.52485941801, 11956.744885561364), angle 1.2179231542334894 rads.
* Tank #2 Red AI Tank at (-1.170333713605168e-12, -6371.0), angle 4.71238898038469.
* Angle Between is 2.7887194810283855 rads.
<<<16:12:23:240956>>>  Tank #2 Red AI Tank saw no celestials or cannonballs above their heads and is casting Gravity...
<<<16:12:29:893744>>>  Tank #2 Red AI Tank chose to move to 4.1671, cururently at 4.7124.
<<<16:12:29:893744>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:29:893744>>>  Tank #2 Red AI Tank chose to move...
<<<16:12:29:893744>>>  Deleting effect pixie gravity...
<<<16:12:29:894741>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:225506>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:356480>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:487175>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:584880>>>  Deleting effect pixie Tank #2 Red AI Tank thawing...
<<<16:12:31:616691>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:746193>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:31:876299>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:012475>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:145613>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:278503>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:412521>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:544930>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:679766>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:812615>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:32:945604>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:077695>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:211495>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:345270>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:477014>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:610631>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:744675>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:33:878654>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:34:009234>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:34:143092>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:34:279141>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:34:408471>>>  Tank #2 Red AI Tank moved one unit CW...
<<<16:12:34:539081>>>  Tank #2 Red AI Tank moved one unit CW...
