<<<15:11:29:570398>>>
* Screen coordinates (160, 280) choosen in zone #8.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (0, 150).
* Maximum (x, y) are (266, 750).
* Mid (x, y) are (133, 450).
<<<15:11:29:570398>>>  Image at Pix\Faraway_Objects\Quasars\2.png choosen for background...
<<<15:11:29:574383>>>  Pix\Homeworlds\Desert\8.png loaded as pixie for Earth...
<<<15:11:29:574383>>>  Image at Pix\Homeworlds\Desert\8.png chosen as homeworld pix for Earth's...
<<<15:11:29:574383>>>  Pix\Moons\8.png loaded as pixie for Moon #2...
<<<15:11:29:619184>>>  Pix\Snails\Green_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #1 Green Player Tank...
<<<15:11:29:619184>>>  Tank #1 Green Player Tank successfully created!
<<<15:11:29:672630>>>  Pix\Snails\Red_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #2 Red AI Tank...
<<<15:11:29:672630>>>  Tank #2 Red AI Tank successfully created!
<<<15:11:29:725425>>>  Pix\Snails\Yellow_Snail\Spells\Spellready_Icon\spellready.png returned as pixie for Tank #3 Yellow AI Tank...
<<<15:11:29:726422>>>  Tank #3 Yellow AI Tank successfully created!
<<<15:11:29:731318>>>  Tank #2 Red AI Tank chose to shoot...
<<<15:11:29:731318>>>
* *** Tank #3 Yellow AI Tank USING CLEAR SKIES FUNCTION ***
* Moon #2 at (-12458.531461950783, 2672.035414715288), angle 2.9303189749223235 rads.
* Tank #3 Yellow AI Tank at (5517.447847510657, -3185.5000000000027), angle 5.759586531581287.
* Angle Between is 2.8292675566589636 rads.
<<<15:11:29:731318>>>  Tank #3 Yellow AI Tank saw no celestials or cannonballs above their heads and is casting Gravity...
<<<15:11:29:731318>>>  Successfully removed spellready icon from Tank #3 Yellow AI Tank's effect list!
<<<15:11:29:744180>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:744180>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:744180>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:744180>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:760353>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:760353>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:760353>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:760353>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:776428>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:776428>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:776428>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:776428>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:792898>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:792898>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:792898>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:792898>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:809756>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:809756>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:809756>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:809756>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
<<<15:11:29:826550>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:11:29:826550>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:11:29:826550>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:11:29:826550>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CCW...
